City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Green leaf
154,Padang,ID,75.92,overcast clouds,-0.9492,100.3543,Mercure Padang
157,Gloversville,US,77.11,overcast clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
161,Manoel Urbano,BR,84.15,clear sky,-8.8389,-69.2597,Baixada Beira Rio
162,Lagoa,PT,73.4,clear sky,39.05,-27.9833,Casa Das Faias
164,Ariquemes,BR,82.78,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
165,Hashtgerd,IR,74.91,clear sky,35.9642,50.6858,Parse System
168,Matanzas,CU,81.36,broken clouds,23.0411,-81.5775,Hostal Sueños
171,Sao Filipe,CV,77.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
173,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
174,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
175,Mahibadhoo,MV,78.67,overcast clouds,3.7833,72.9667,Omadhoo Inn
176,Birjand,IR,73.26,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
177,Urucara,BR,75.02,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
179,Yining,CN,74.28,broken clouds,29.0361,114.5636,Xiushui Hotel
182,Halifax,CA,72.7,overcast clouds,44.6453,-63.5724,Hotel Halifax
185,Isla Mujeres,MX,78.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
187,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
188,Aracruz,BR,70.81,overcast clouds,-19.8203,-40.2733,"OYO Hotel Iramar, Aracruz"
189,Pembroke,CA,75.18,broken clouds,45.8168,-77.1162,Hillside Inn
191,Wagar,SD,88.43,overcast clouds,16.1525,36.2032,
192,Banikoara,BJ,78.57,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
193,Mbour,SN,83.25,light rain,14.422,-16.9638,Tama Lodge
194,Cabedelo,BR,74.07,light rain,-6.9811,-34.8339,Pousada Camboinha
195,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
200,Colares,PT,77.32,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
202,Aswan,EG,89.82,clear sky,24.0934,32.907,Nuba Nile
205,Diplo,PK,82.02,broken clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
206,Ipameri,BR,71.24,few clouds,-17.7219,-48.1597,Real Hotel
207,Takoradi,GH,74.23,broken clouds,4.8845,-1.7554,Raybow International Hotel
208,Wajir,KE,78.21,broken clouds,1.7471,40.0573,Mahatallah Hotel
209,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
210,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Jacareacanga,BR,85.1,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
214,Salinopolis,BR,80.17,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
218,Tenkasi,IN,76.62,scattered clouds,8.956,77.3058,SHREE SUITES
219,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
223,Damghan,IR,74.95,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
225,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
229,Pala,TD,71.6,overcast clouds,9.3642,14.9046,Hotel Pala Palace
230,Goderich,CA,73.9,clear sky,43.7501,-81.7165,Harmony Inn
232,Paveh,IR,74.52,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
233,Augusto Correa,BR,77.56,broken clouds,-1.0217,-46.635,Fazenda Bacuri
234,Jacqueville,CI,75.79,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
235,Trinidad,BO,77.83,clear sky,-14.8333,-64.9,Hotel Piesta
236,La Asuncion,VE,83.93,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
237,Morbegno,IT,72.37,clear sky,46.1383,9.57,Le Cantine Del Vecchio Borgo
241,Korla,CN,74.59,clear sky,41.7597,86.1469,Gulisitan Hotel
246,Thompson,CA,70.05,overcast clouds,55.7435,-97.8558,Burntwood Hotel
247,Hobyo,SO,75.54,broken clouds,5.3505,48.5268,Iftin hotel hobyo
248,Bardiyah,LY,78.15,clear sky,31.7561,25.0865,بورتو بردية
249,Ecoporanga,BR,70.3,clear sky,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
250,Porto Novo,BJ,75.36,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
252,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
