City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Coquimbo,-29.9533,-71.3436,56.93,76,75,6.91,CL,broken clouds
79,Port-Gentil,-0.7193,8.7815,75.16,83,40,11.5,GA,scattered clouds
80,Nouadhibou,20.931,-17.0347,70.34,90,17,15.03,MR,few clouds
81,Torbay,47.6666,-52.7314,68.29,92,100,11.03,CA,overcast clouds
82,Longyearbyen,78.2186,15.6401,49.84,81,75,10.36,SJ,broken clouds
83,Jamestown,42.097,-79.2353,76.01,51,75,6.91,US,broken clouds
84,Atar,20.5169,-13.0499,87.03,50,99,11.03,MR,moderate rain
85,Montes Altos,-5.8333,-47.0667,83.88,42,80,4.79,BR,broken clouds
86,Bequimao,-2.4489,-44.7825,76.15,84,59,3.22,BR,broken clouds
87,Sao Francisco De Assis,-29.5503,-55.1311,53.85,74,40,3.78,BR,scattered clouds
88,Brigantine,39.4101,-74.3646,90.03,40,0,9.22,US,clear sky
89,Chapais,49.7834,-74.8492,66.15,69,97,8.48,CA,overcast clouds
90,Ugoofaaru,5.6667,73.0,78.58,85,100,19.08,MV,light rain
91,East London,-33.0153,27.9116,58.73,63,100,14.23,ZA,overcast clouds
92,Haverfordwest,51.8017,-4.9691,64.06,96,100,5.99,GB,overcast clouds
93,Dikson,73.5069,80.5464,40.68,93,16,11.79,RU,few clouds
94,Coswig,51.1333,13.5833,62.01,92,0,2.3,DE,clear sky
95,Bilma,18.6853,12.9164,91.71,24,43,9.06,NE,scattered clouds
96,Jadu,31.953,12.0261,77.38,31,0,5.68,LY,clear sky
97,Sokoni,-6.4333,39.55,75.15,83,2,13.24,TZ,clear sky
98,Clyde River,70.4692,-68.5914,39.43,100,100,12.66,CA,light rain
99,Potiskum,11.7091,11.0694,71.76,83,100,7.47,NG,overcast clouds
100,Montepuez,-13.1256,38.9997,63.9,83,17,3.8,MZ,few clouds
101,Santiago Del Estero,-27.7951,-64.2615,69.78,27,5,8.68,AR,clear sky
102,Sao Joao Da Barra,-21.6403,-41.0511,66.96,68,61,9.95,BR,broken clouds
103,Necochea,-38.5473,-58.7368,50.85,74,100,7.87,AR,overcast clouds
104,Awbari,26.5921,12.7805,86.18,16,0,8.23,LY,clear sky
105,Saint-Leu,-21.15,55.2833,70.57,74,43,4.92,RE,scattered clouds
106,Bathurst,-33.4166,149.5806,46.72,84,100,2.06,AU,overcast clouds
107,La Sarre,48.8002,-79.1996,72.27,67,76,5.44,CA,broken clouds
108,Weymouth,42.2209,-70.9398,86.34,42,40,14.97,US,scattered clouds
109,Salym,60.0625,71.4789,59.77,93,14,5.5,RU,few clouds
110,Richards Bay,-28.783,32.0377,61.95,87,64,4.36,ZA,broken clouds
111,Coihaique,-45.5752,-72.0662,38.01,70,0,3.44,CL,clear sky
112,Port Elizabeth,-33.918,25.5701,53.98,74,10,14.99,ZA,clear sky
113,Iralaya,15.0,-83.2333,81.93,78,100,12.01,HN,overcast clouds
114,Ati,13.2154,18.3353,83.19,55,3,5.99,TD,clear sky
115,Tucuma,-0.1833,-50.05,79.23,80,100,7.05,BR,overcast clouds
116,Galle,6.0367,80.217,78.26,87,95,10.27,LK,overcast clouds
117,Chuy,-33.6971,-53.4616,50.25,77,1,3.58,UY,clear sky
118,Bengkulu,-3.8004,102.2655,76.71,86,100,4.47,ID,overcast clouds
119,Muros,42.7762,-9.0603,72.09,65,0,13.31,ES,clear sky
120,Lagos,6.5833,3.75,75.31,83,96,6.82,NG,overcast clouds
121,Torbat-E Jam,35.244,60.6225,76.71,54,1,18.61,IR,clear sky
122,Huarmey,-10.0681,-78.1522,65.61,75,73,9.28,PE,broken clouds
123,Guna,24.65,77.3167,77.41,81,99,10.31,IN,overcast clouds
124,Bredasdorp,-34.5322,20.0403,48.63,86,92,5.82,ZA,overcast clouds
125,Turkistan,43.0,68.0,78.98,33,15,10.47,KZ,few clouds
126,Korhogo,9.45,-5.6333,72.09,91,89,3.27,CI,light rain
127,Portobelo,9.55,-79.65,83.95,86,100,11.77,PA,overcast clouds
128,Repino,60.1722,29.8691,56.79,89,49,3.4,RU,scattered clouds
129,Sompeta,18.9333,84.6,81.95,83,100,7.67,IN,overcast clouds
130,Tyukhtet,56.5389,89.3011,58.95,96,88,4.61,RU,overcast clouds
131,Laje,-10.1833,-40.9667,81.82,39,79,5.5,BR,broken clouds
132,Vestmanna,62.1564,-7.1664,49.12,81,75,8.05,FO,broken clouds
133,Amudat,1.95,34.95,69.31,67,34,1.12,UG,scattered clouds
134,Harwich,51.9419,1.2844,73.0,77,100,1.01,GB,overcast clouds
135,Ciudad Guayana,8.3533,-62.6528,79.27,80,73,6.78,VE,broken clouds
136,Vardo,70.3705,31.1107,49.98,100,100,14.97,NO,overcast clouds
137,Kozhva,65.1073,57.0459,57.67,79,57,4.85,RU,broken clouds
138,Zverinogolovskoye,54.4586,64.8542,59.56,93,10,6.87,RU,light rain
139,Sisimiut,66.9395,-53.6735,48.11,79,100,5.99,GL,overcast clouds
140,Bowmore,34.9421,-79.3031,93.42,77,75,1.99,US,broken clouds
141,Tsumeb,-19.2333,17.7167,63.23,25,3,4.29,NA,clear sky
142,Antalaha,-14.9003,50.2788,66.81,92,50,6.58,MG,light rain
143,Salalah,17.0151,54.0924,77.09,88,75,6.91,OM,broken clouds
144,Qaanaaq,77.484,-69.3632,44.26,68,70,5.01,GL,broken clouds
145,Chake Chake,-5.2459,39.7666,72.9,88,6,8.5,TZ,clear sky
146,Iqaluit,63.7506,-68.5145,40.69,93,100,8.99,CA,overcast clouds
147,Comodoro Rivadavia,-45.8667,-67.5,44.46,49,0,9.22,AR,clear sky
148,Makat,47.6469,53.3463,80.87,33,11,9.42,KZ,few clouds
149,Omboue,-1.5746,9.2618,71.8,87,76,4.79,GA,broken clouds
150,Surt,31.2089,16.5887,80.8,74,0,7.52,LY,clear sky
151,Aguas Formosas,-17.0822,-40.9358,73.54,47,15,6.08,BR,few clouds
152,Kavaratti,10.5669,72.642,80.91,83,93,18.88,IN,overcast clouds
153,Igarka,67.4667,86.5833,44.74,80,0,20.58,RU,clear sky
154,Padang,-0.9492,100.3543,75.92,86,85,3.69,ID,overcast clouds
155,Kirovsk,48.6375,38.6428,66.13,54,94,6.46,UA,overcast clouds
156,Nuuk,64.1835,-51.7216,47.01,81,40,11.5,GL,scattered clouds
157,Gloversville,43.0528,-74.3438,77.11,70,100,9.22,US,overcast clouds
158,Maniitsoq,65.4167,-52.9,44.24,90,99,10.96,GL,overcast clouds
159,Santa Maria,-29.6842,-53.8069,51.87,80,9,3.65,BR,clear sky
160,Alibunar,45.0808,20.9658,68.81,95,92,7.14,RS,overcast clouds
161,Manoel Urbano,-8.8389,-69.2597,84.15,50,7,0.85,BR,clear sky
162,Lagoa,39.05,-27.9833,73.4,66,0,1.63,PT,clear sky
163,Severodvinsk,64.5635,39.8302,59.11,95,42,8.5,RU,scattered clouds
164,Ariquemes,-9.9133,-63.0408,82.78,36,0,0.29,BR,clear sky
165,Hashtgerd,35.9642,50.6858,74.91,48,1,2.33,IR,clear sky
